MSI_class	clonality	pct	pct.lo	pct.hi
Non-MSI-assoc MSS	Clonal	0.655842642724967	0.652380191287354	0.659288650557142
Non-MSI-assoc MSI	Clonal	0.689291101055807	0.65228582778978	0.724068951574853
MSI-assoc MSS	Clonal	0.596645554773634	0.586132392819524	0.60707117693112
MSI-assoc MSI	Clonal	0.298737727910238	0.265617954509921	0.334059458630167
Non-MSI-assoc MSS	Subclonal	0.60775052804506	0.60254084485024	0.612935859929059
Non-MSI-assoc MSI	Subclonal	0.418032786885246	0.355908287784845	0.482781675201095
MSI-assoc MSS	Subclonal	0.594533029612756	0.58111506731013	0.607812238350806
MSI-assoc MSI	Subclonal	0.402684563758389	0.346962367399786	0.460957920442082
