name	mle	cilow	cihigh	zygosity_class
wmis	1.03666641985094	0.974923861186841	1.10231917468743	Haploid Non-essential
wtru	1.16260511467546	1.02678695839364	1.31638860585465	Haploid Non-essential
wmis	0.958461424538941	0.716042820609537	1.28295162787501	Haploid Essential
wtru	0.533209703702511	0.267375516797265	1.06334563286921	Haploid Essential
wmis	1.0543075745343	1.0439641747886	1.06475345472989	Diploid Non-essential
wtru	1.01470442024843	0.99260681622038	1.03729396539132	Diploid Non-essential
wmis	1.06184456559818	1.0222946961035	1.10292451461201	Diploid Essential
wtru	0.978252988097757	0.907799112619948	1.05417475674801	Diploid Essential
